Position,Team,Played,Won,Drawn,Lost,Scored,Conceded,Difference,Points
1,INTER,10,8,1,1,25,5,20,25
2,JUVENTUS,10,7,2,1,16,6,10,23
3,MILAN,10,7,1,2,18,11,7,22
4,ATALANTA,10,6,1,3,18,8,10,19
5,NAPOLI,10,5,3,2,22,12,10,18
6,FIORENTINA,10,5,2,3,18,14,4,17
7,LAZIO,10,5,1,4,13,12,1,16
8,BOLOGNA,10,3,6,1,11,8,3,15
9,ROMA,10,4,2,4,20,13,7,14
10,MONZA,10,3,4,3,9,9,0,13
11,LECCE,10,3,4,3,10,12,-2,13
12,FROSINONE,10,3,3,4,15,17,-2,12
13,TORINO,10,3,3,4,7,12,-5,12
14,GENOA,10,3,2,5,11,14,-3,11
15,SASSUOLO,10,3,2,5,13,17,-4,11
16,HELLAS VERONA,10,2,2,6,6,12,-6,8
17,UDINESE,10,0,7,3,6,14,-8,7
18,EMPOLI,10,2,1,7,3,19,-16,7
19,CAGLIARI,10,1,3,6,9,21,-12,6
20,SALERNITANA,10,0,4,6,6,20,-14,4
